model,price,miles,listing_type,year
LX,21999,21932 ,Used,2021
Sport,25491,30423 ,Used,2021
LX,15880,64327 ,Used,2015
LX,21496,57381 ,Used,2019
EX-L,21994,40476 ,Used,2017
Sport,28499,9057 ,Used,2022
EX,16999,65386 ,Used,2015
EX,24927,7690 ,Used,2019
LX,18998,62453 ,Used,2019
EX,13998,150991 ,Used,2018
Sport,30888,18595 ,Used,2020
Si,19998,89236 ,Used,2014
Type R,48888,7854 ,Used,2021
SE,17490,60551 ,Used,2015
EX,28991,8375 ,Used,2021
Sport,25991,18830 ,Used,2019
LX,24991,21749 ,Used,2021
EX,19991,52015 ,Used,2017
LX,12994,91458 ,Used,2014
LX,16998,85127 ,Used,2016
LX,11998,120266 ,Used,2013
Si,27999,7024 ,Used,2020
LX,20698,48369 ,Certified,2020
LX,22499,23349 ,Certified,2020
LX,21499,43460 ,Certified,2020
LX,23500,52255 ,Used,2020
LX,24000,38134 ,Used,2020
EX-T,22200,21162 ,Used,2016
LX,18708,77817 ,Used,2020
Sport,28590,7775 ,Used,2022
EX,22491,61112 ,Used,2017
LX,9997,121185 ,Used,2012
EX-L,7497,139708 ,Used,2008
Hybrid Sedan,11997,143472 ,Used,2015
LX,9997,68440 ,Used,2014
LX,9497,134157 ,Used,2012
EX,7997,135075 ,Used,2007
Sport,26088,30003 ,Certified,2020
Sport,30179,16783 ,Certified,2022
Sport,29805,18778 ,Certified,2022
Sport,29145,6658 ,Certified,2021
Sport,27891,24323 ,Certified,2021
Sport Touring,33800,15777 ,Used,2022
Sport,26588,26535 ,Certified,2021
LX,24999,54012 ,Used,2020
Sport,25598,57067 ,Used,2020
Sport,32998,12744 ,Used,2022
Sport,24997,25181 ,Used,2021
Sport,28998,41695 ,Used,2022
Sport,25995,16275 ,Used,2022
Sport,22615,51228 ,Certified,2019
Sport,24995,11897 ,Used,2019
LX,21432,46348 ,Used,2020
EX-T,21997,14138 ,Used,2017
EX,16999,72684 ,Used,2014
EX-L,19999,78723 ,Used,2016
LX,22495,46580 ,Used,2019
Type R,41497,44603 ,Used,2019
EX,29742,56380 ,Used,2019
LX,23467,49718 ,Certified,2019
LX,29888,25135 ,Certified,2022
EX,8995,135675 ,Used,2007
LX,20988,37411 ,Used,2020
Type R,48349,18708 ,Certified,2021
Sport,29965,32105 ,Certified,2021
EX,27427,31355 ,Certified,2019
LX,29888,25135 ,Certified,2022
LX,29897,22455 ,Certified,2022
Sport,22990,34869 ,Certified,2021
EX,15300,141760 ,Used,2016
Sport,27491,27967 ,Used,2020
Sport,25499,41915 ,Used,2019
EX,25391,31452 ,Certified,2020
Sport,28792,14501 ,Certified,2022
EX,19000,63097 ,Used,2017
LX,21488,31765 ,Used,2021
EX-L,14478,120909 ,Used,2015
EX-L,25900,23421 ,Used,2019
EX-L,25357,29051 ,Certified,2019
EX,24477,23035 ,Certified,2019
LX,13900,89037 ,Used,2013
Type R,42900,33032 ,Used,2019
LX,16900,33912 ,Used,2013
Sport,22900,75545 ,Used,2018
LX,14990,121895 ,Used,2014
Sport,25990,13263 ,Used,2020
Touring,30700,15270 ,Used,2022
Si,27909,25987 ,Used,2019
EX,17800,100238 ,Used,2016
EX-T,17750,118384 ,Used,2017
EX-L,10500,134221 ,Used,2009
LX,17999,96657 ,Used,2017
EX,6995,168183 ,Used,2007
EX-T,17691,78533 ,Used,2016
Sport,25995,10172 ,Used,2021
EX,25311,36949 ,Used,2019
LX,23294,24269 ,Used,2021
LX,22499,27358 ,Used,2021
LX,18988,52843 ,Used,2020
LX,19988,28246 ,Used,2017
LX,10988,106551 ,Used,2008
LX,18988,57896 ,Used,2018
EX-T,19998,57832 ,Used,2018
Sport,25998,31523 ,Used,2019
LX,16499,37866 ,Used,2013
EX-L,18457,38568 ,Used,2015
LX,21950,41282 ,Used,2021
LX,9799,131611 ,Used,2008
Sport,27999,24365 ,Used,2020
EX,19995,64050 ,Used,2019
EX,22791,41444 ,Used,2017
EX-L,18200,65926 ,Used,2015
EX,29995,14580 ,Used,2022
Sport,26500,26914 ,Certified,2021
Sport,27526,10877 ,Used,2022
Sport,26289,31901 ,Used,2021
Sport,25596,16746 ,Certified,2021
Sport,23882,42461 ,Certified,2020
LX,22116,31812 ,Certified,2020
EX,25933,33056 ,Certified,2021
Sport,23972,38802 ,Certified,2021
Sport,24659,14833 ,Certified,2020
LX,25954,12993 ,Certified,2022
Sport,22712,57637 ,Certified,2020
LX,22717,31011 ,Certified,2021
Sport,24754,31649 ,Used,2020
LX,21741,21193 ,Used,2019
Sport,27295,33161 ,Used,2020
EX,23585,37018 ,Used,2020
LX,4995,191000 ,Used,2005
LX,8995,136010 ,Used,2009
Sport,23988,66553 ,Used,2018
LX,28998,15445 ,Used,2022
EX,23988,48050 ,Used,2018
Sport,24485,54036 ,Used,2020
Sport,25485,4428 ,Used,2019
EX-L,16777,66753 ,Used,2014
Si,27950,17800 ,Used,2017
EX,16999,101014 ,Used,2015
EX,17999,85650 ,Used,2015
LX,18999,91662 ,Used,2014
LX,21999,97712 ,Used,2018
EX-T,21999,69594 ,Used,2016
EX,27999,33547 ,Used,2018
LX,23499,25056 ,Used,2019
EX-L,21785,44474 ,Used,2017
Sport,23985,30567 ,Used,2020
EX,19988,72285 ,Used,2018
EX-L,32997,7657 ,Used,2022
Si,30997,16880 ,Used,2020
LX,23997,10379 ,Used,2020
Sport,29497,4590 ,Used,2022
Sport,24997,38250 ,Used,2019
Sport,28997,19367 ,Used,2022
Sport,30997,15378 ,Used,2022
EX-L,31997,7538 ,Used,2022
EX,29997,22004 ,Used,2021
Si,28997,29342 ,Used,2019
EX,29997,435 ,Used,2022
Si,18774,65930 ,Used,2015
Sport,26251,21190 ,Used,2022
LX,18384,137324 ,Used,2019
Sport,22981,78386 ,Used,2019
Sport,25892,48902 ,Certified,2020
Sport,29382,22730 ,Certified,2021
EX,27383,20178 ,Certified,2019
Sport,24442,48777 ,Used,2018
Sport Touring,34981,12789 ,Certified,2022
EX,28981,18156 ,Certified,2021
LX,22984,38487 ,Certified,2020
Sport,29382,26163 ,Certified,2022
LX,18651,80370 ,Used,2016
LX,23491,22958 ,Certified,2020
EX,30991,16185 ,Certified,2020
EX,26991,19069 ,Certified,2021
LX,19999,97987 ,Used,2017
Sport,31999,39333 ,Used,2022
Sport,27000,25101 ,Used,2022
LX,22550,32618 ,Used,2020
Sport,25758,15479 ,Certified,2020
EX,26437,20663 ,Certified,2021
Sport,23993,35824 ,Certified,2020
EX,18645,98761 ,Used,2017
Sport,24174,30389 ,Certified,2019
Sport,25236,29684 ,Certified,2020
LX,14999,103123 ,Used,2012
Sport,31999,28146 ,Used,2019
LX,12989,140602 ,Used,2014
EX,17989,83617 ,Used,2017
LX,12989,93605 ,Used,2013
EX-L,20000,71385 ,Used,2018
LX,23500,36626 ,Used,2020
LX,7400,115292 ,Used,2008
EX,15999,89900 ,Used,2015
Sport,18990,80850 ,Used,2017
EX,25574,26091 ,Used,2021
Sport,25458,34325 ,Used,2020
Sport,23990,54365 ,Used,2019
Si,27990,35190 ,Used,2020
LX-P,16988,77305 ,Used,2016
Si,26977,46911 ,Used,2019
LX,16988,49941 ,Used,2015
LX,22545,27593 ,Used,2021
LX,17998,43523 ,Used,2014
LX,23995,24899 ,Certified,2021
Sport,24988,25822 ,Certified,2020
Sport,27488,34766 ,Used,2020
LX,17995,62600 ,Used,2018
Sport,27995,29092 ,Certified,2019
LX,22995,35005 ,Used,2020
Sport,24779,57795 ,Used,2018
EX,25804,45980 ,Used,2019
EX-L,28880,19725 ,Used,2021
Sport,26426,42398 ,Used,2021
EX,28995,34854 ,Used,2021
LX,11995,160273 ,Used,2012
LX,24988,25350 ,Used,2021
EX-T,19988,62871 ,Used,2017
Si,29999,15076 ,Used,2019
LX,25999,2768 ,Used,2019
Sport,30999,10058 ,Used,2021
LX,24699,22000 ,Used,2019
EX,21998,52125 ,Used,2018
EX,17988,93420 ,Used,2019
LX,22888,38180 ,Used,2020
Sport,25799,47832 ,Certified,2020
EX,26969,20407 ,Certified,2019
Si,14999,100664 ,Used,2011
Sport,29487,6313 ,Used,2021
Type R,39582,29495 ,Used,2019
EX-L,13998,111813 ,Used,2015
LX,20798,60407 ,Used,2019
Sport,27988,15250 ,Used,2022
LX,16988,88830 ,Used,2017
EX-L,24588,30019 ,Used,2019
LX,22988,38906 ,Used,2020
EX,20888,45372 ,Used,2016
EX-T,23988,38991 ,Used,2016
Sport,23988,44135 ,Used,2020
LX,17900,67575 ,Used,2019
Sport,26660,32629 ,Used,2020
LX,17000,52973 ,Used,2014
LX,15995,60753 ,Used,2015
LX,15900,122875 ,Used,2017
EX-L,21800,68295 ,Used,2018
LX,19900,54101 ,Used,2016
EX-L,14888,71008 ,Used,2013
EX,26888,7570 ,Used,2021
LX,18995,76797 ,Used,2016
SE,15995,87204 ,Used,2015
Sport,26998,22836 ,Used,2019
LX-P,22995,45409 ,Used,2016
Sport,25995,66455 ,Used,2019
Sport,29998,32473 ,Certified,2021
Sport,24995,37225 ,Used,2020
Sport,28998,8766 ,Certified,2020
LX,25998,12664 ,Used,2019
Sport,29998,7287 ,Certified,2021
EX,27998,25718 ,Certified,2020
LX,29998,3991 ,Certified,2022
LX,29995,27346 ,Certified,2022
EX,3999,218500 ,Used,2001
LX-P,18978,41122 ,Certified,2017
Sport,27998,48836 ,Certified,2019
LX,29995,27346 ,Certified,2022
