model,price,miles
Used 2012 Honda Civic Hybrid Sedan,"13,800","98,850 miles"
Used 2018 Honda Civic EX-T,"22,500","48,458 miles"
Used 2020 Honda Civic Sport,"24,977","33,610 miles"
Used 2018 Honda Civic Si,"25,865","60,239 miles"
Used 2019 Honda Civic Sport,"25,086","68,287 miles"
Used 2021 Honda Civic EX,"32,638","19,913 miles"
Used 2014 Honda Civic LX,"15,700","102,416 miles"
Used 2015 Honda Civic LX,"16,700","39,560 miles"
Used 2012 Honda Civic LX,"9,400","179,753 miles"
Used 2005 Honda Civic VP,,"128,960 miles"
Used 2011 Honda Civic Si,"13,900","91,213 miles"
Used 2021 Honda Civic LX,"24,987","14,516 miles"
Used 2020 Honda Civic Sport,"25,995","33,790 miles"
Used 2018 Honda Civic Si,"27,488","29,243 miles"
Used 2016 Honda Civic LX-P,"20,039","31,705 miles"
Used 2019 Honda Civic EX,"26,469","20,693 miles"
Used 2020 Honda Civic LX,"24,997","12,783 miles"
Used 2017 Honda Civic LX,"20,846","64,508 miles"
Used 2020 Honda Civic Si,"28,697","48,871 miles"
Used 2020 Honda Civic Sport,"25,297","38,862 miles"
Used 2019 Honda Civic Sport,"24,697","36,636 miles"
Used 2021 Honda Civic EX,"28,560","4,880 miles"
Used 2018 Honda Civic EX,"24,381","45,038 miles"
Used 2020 Honda Civic Sport,"26,045","36,152 miles"
Used 2020 Honda Civic EX,"27,178","21,498 miles"
Used 2021 Honda Civic Sport,"29,995","16,995 miles"
Used 2018 Honda Civic EX-T,"23,669","67,839 miles"
Used 2020 Honda Civic LX,"25,344","38,167 miles"
Used 2021 Honda Civic Sport,"27,615","37,533 miles"
Used 2020 Honda Civic Si,"30,660","17,929 miles"
Used 2018 Honda Civic Si,"26,663","50,509 miles"
Used 2020 Honda Civic EX-L,"26,031","16,714 miles"
Used 2020 Honda Civic Sport,"26,687","20,083 miles"
Certified 2019 Honda Civic EX,"26,919","36,294 miles"
Certified 2022 Honda Civic Sport,"28,434","33,843 miles"
Certified 2020 Honda Civic Sport,"24,186","41,056 miles"
Certified 2022 Honda Civic EX,"29,968","20,782 miles"
Certified 2021 Honda Civic EX,"30,291","7,804 miles"
Certified 2020 Honda Civic Sport,"27,565","8,078 miles"
Certified 2020 Honda Civic EX,"26,633","32,651 miles"
Used 2019 Honda Civic LX,"21,253","44,675 miles"
Certified 2018 Honda Civic EX-T,"24,171","49,287 miles"
Certified 2019 Honda Civic LX,"24,127","15,703 miles"
Certified 2020 Honda Civic EX-L,"26,960","25,710 miles"
Certified 2020 Honda Civic EX,"27,351","26,801 miles"
Certified 2019 Honda Civic Sport,"24,583","60,065 miles"
Used 2020 Honda Civic Sport,"22,987","65,682 miles"
Certified 2021 Honda Civic EX,"27,171","19,782 miles"
Used 2018 Honda Civic EX,"21,987","34,110 miles"
Used 2021 Honda Civic Sport,"27,020","16,508 miles"
Used 2018 Honda Civic EX,"24,865","21,822 miles"
Used 2020 Honda Civic Sport,"21,865","60,182 miles"
Used 2005 Honda Civic LX,"3,400","207,864 miles"
Used 2019 Honda Civic Si,"29,985","45,845 miles"
Used 2019 Honda Civic LX,"21,993","26,609 miles"
Used 2008 Honda Civic EX,"9,995","116,907 miles"
Used 2006 Honda Civic Hybrid Sedan,"8,793","170,220 miles"
Used 2022 Honda Civic Sport,"27,993","8,619 miles"
Certified 2022 Honda Civic Sport,"27,994","13,519 miles"
Certified 2020 Honda Civic Sport,"23,993","20,088 miles"
Certified 2018 Honda Civic Sport,"24,998","26,690 miles"
Certified 2020 Honda Civic LX,"22,973","29,108 miles"
Certified 2020 Honda Civic Sport,"29,995","28,873 miles"
Certified 2019 Honda Civic LX,"21,983","26,395 miles"
,,
