model,price,miles
Used 2019 Honda Civic Sport,"24,363","48,175 miles"
Used 2019 Honda Civic Si,"27,963","29,264 miles"
Certified 2022 Honda Civic Sport,"29,984","4,786 miles"
Certified 2022 Honda Civic Sport,"30,995","16,301 miles"
Used 2022 Honda Civic Sport,"29,988","8,986 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2019 Honda Civic LX,"19,582","28,228 miles"
Used 2020 Honda Civic EX,"24,242","74,031 miles"
Used 2022 Honda Civic Sport,"26,888","16,138 miles"
Certified 2019 Honda Civic Si,"26,988","24,854 miles"
Used 2017 Honda Civic LX,"12,501","146,016 miles"
Used 2019 Honda Civic Type R,"38,880","44,552 miles"
Used 2014 Honda Civic EX,"16,812","56,391 miles"
Used 2022 Honda Civic Touring,"29,345","30,878 miles"
Used 2022 Honda Civic Touring,"31,900","3,252 miles"
Used 2006 Honda Civic Hybrid Sedan,"9,900","93,509 miles"
Used 2019 Honda Civic Sport Touring,"26,495","23,200 miles"
Used 2020 Honda Civic LX,"22,491","17,701 miles"
Used 2020 Honda Civic Sport,"22,692","47,261 miles"
Used 2020 Honda Civic LX,"22,492","26,902 miles"
Used 2018 Honda Civic EX,"19,461","83,030 miles"
Used 2020 Honda Civic LX,"22,871","16,346 miles"
Used 2010 Honda Civic LX-S,"12,991","62,152 miles"
Used 2021 Honda Civic LX,"23,482","10,044 miles"
Used 2020 Honda Civic Sport,"24,744","54,590 miles"
Used 2021 Honda Civic Sport,"25,841","17,194 miles"
Used 2018 Honda Civic LX,"18,992","63,455 miles"
Used 2021 Honda Civic Sport,"26,536","18,924 miles"
Used 2017 Honda Civic LX,"18,433","85,646 miles"
Used 2008 Honda Civic LX,"9,995","87,271 miles"
Used 2018 Honda Civic Sport,"22,975","44,997 miles"
Used 2019 Honda Civic EX-L,"24,906","24,047 miles"
Used 2018 Honda Civic LX,"19,950","38,847 miles"
Used 2012 Honda Civic EX,"15,999","54,101 miles"
Used 2015 Honda Civic LX,"17,988","32,220 miles"
Used 2022 Honda Civic EX,"27,499","10,219 miles"
Used 2022 Honda Civic Sport,"28,999","3,886 miles"
Used 2022 Honda Civic Sport,"27,999","8,093 miles"
Used 2022 Honda Civic Sport,"28,499","9,207 miles"
Used 2022 Honda Civic Sport,"27,999","6,931 miles"
Used 2022 Honda Civic EX,"27,999","12,550 miles"
Used 2006 Honda Civic LX,"7,550","149,428 miles"
Used 2022 Honda Civic Sport,"26,999","13,565 miles"
Used 2021 Honda Civic LX,"22,999","21,430 miles"
Used 2018 Honda Civic Sport,"24,999","15,946 miles"
Certified 2022 Honda Civic Sport,"28,888",79 miles
Used 2020 Honda Civic EX-L,"24,999","4,603 miles"
Used 2021 Honda Civic LX,"21,999","21,932 miles"
Used 2021 Honda Civic Sport,"25,491","30,423 miles"
Used 2015 Honda Civic LX,"15,880","64,327 miles"
Used 2019 Honda Civic LX,"21,496","57,381 miles"
Used 2017 Honda Civic EX-L,"21,994","40,476 miles"
Used 2022 Honda Civic Sport,"28,499","9,057 miles"
Used 2015 Honda Civic EX,"16,999","65,386 miles"
Used 2019 Honda Civic EX,"24,927","7,690 miles"
Used 2019 Honda Civic LX,"18,998","62,453 miles"
Used 2018 Honda Civic EX,"13,998","150,991 miles"
Used 2020 Honda Civic Sport,"30,888","18,595 miles"
Used 2014 Honda Civic Si,"19,998","89,236 miles"
Used 2021 Honda Civic Type R,"48,888","7,854 miles"
Used 2015 Honda Civic SE,"17,490","60,551 miles"
Used 2021 Honda Civic EX,"28,991","8,375 miles"
Used 2019 Honda Civic Sport,"25,991","18,830 miles"
Used 2021 Honda Civic LX,"24,991","21,749 miles"
Used 2017 Honda Civic EX,"19,991","52,015 miles"
Used 2014 Honda Civic LX,"12,994","91,458 miles"
Used 2016 Honda Civic LX,"16,998","85,127 miles"
Used 2013 Honda Civic LX,"11,998","120,266 miles"
Used 2020 Honda Civic Si,"27,999","7,024 miles"
Certified 2020 Honda Civic LX,"20,698","48,369 miles"
Certified 2020 Honda Civic LX,"22,499","23,349 miles"
Certified 2020 Honda Civic LX,"21,499","43,460 miles"
Used 2020 Honda Civic LX,"23,500","52,255 miles"
Used 2020 Honda Civic LX,"24,000","38,134 miles"
Used 2016 Honda Civic EX-T,"22,200","21,162 miles"
Used 2020 Honda Civic LX,"18,708","77,817 miles"
Used 2022 Honda Civic Sport,"28,590","7,775 miles"
Used 2017 Honda Civic EX,"22,491","61,112 miles"
Used 2012 Honda Civic LX,"9,997","121,185 miles"
Used 2008 Honda Civic EX-L,"7,497","139,708 miles"
Used 2015 Honda Civic Hybrid Sedan,"11,997","143,472 miles"
Used 2014 Honda Civic LX,"9,997","68,440 miles"
Used 2012 Honda Civic LX,"9,497","134,157 miles"
Used 2007 Honda Civic EX,"7,997","135,075 miles"
Certified 2020 Honda Civic Sport,"26,088","30,003 miles"
Certified 2022 Honda Civic Sport,"30,179","16,783 miles"
Certified 2022 Honda Civic Sport,"29,805","18,778 miles"
Certified 2021 Honda Civic Sport,"29,145","6,658 miles"
Certified 2021 Honda Civic Sport,"27,891","24,323 miles"
Used 2022 Honda Civic Sport Touring,"33,800","15,777 miles"
Certified 2021 Honda Civic Sport,"26,588","26,535 miles"
Used 2020 Honda Civic LX,"24,999","54,012 miles"
Used 2020 Honda Civic Sport,"25,598","57,067 miles"
Used 2022 Honda Civic Sport,"32,998","12,744 miles"
Used 2021 Honda Civic Sport,"24,997","25,181 miles"
Used 2022 Honda Civic Sport,"28,998","41,695 miles"
Used 2022 Honda Civic Sport,"25,995","16,275 miles"
Certified 2019 Honda Civic Sport,"22,615","51,228 miles"
Used 2020 Honda Civic EX,,"27,485 miles"
Used 2019 Honda Civic Sport,"24,995","11,897 miles"
Used 2020 Honda Civic LX,"21,432","46,348 miles"
Used 2017 Honda Civic EX-T,"21,997","14,138 miles"
Used 2014 Honda Civic EX,"16,999","72,684 miles"
Used 2016 Honda Civic EX-L,"19,999","78,723 miles"
Used 2019 Honda Civic LX,"22,495","46,580 miles"
Used 2019 Honda Civic Type R,"41,497","44,603 miles"
Used 2019 Honda Civic EX,"29,742","56,380 miles"
Certified 2019 Honda Civic LX,"23,467","49,718 miles"
Certified 2022 Honda Civic LX,"29,888","25,135 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2007 Honda Civic EX,"8,995","135,675 miles"
Used 2020 Honda Civic LX,"20,988","37,411 miles"
Certified 2021 Honda Civic Type R,"48,349","18,708 miles"
Certified 2021 Honda Civic Sport,"29,965","32,105 miles"
Certified 2019 Honda Civic EX,"27,427","31,355 miles"
Certified 2022 Honda Civic LX,"29,888","25,135 miles"
Certified 2022 Honda Civic LX,"29,897","22,455 miles"
Certified 2021 Honda Civic Sport,"22,990","34,869 miles"
Used 2016 Honda Civic EX,"15,300","141,760 miles"
Used 2020 Honda Civic Sport,"27,491","27,967 miles"
Used 2019 Honda Civic Sport,"25,499","41,915 miles"
Certified 2020 Honda Civic EX,"25,391","31,452 miles"
Certified 2022 Honda Civic Sport,"28,792","14,501 miles"
Used 2017 Honda Civic EX,"19,000","63,097 miles"
Used 2021 Honda Civic LX,"21,488","31,765 miles"
Used 2015 Honda Civic EX-L,"14,478","120,909 miles"
Used 2021 Honda Civic LX,,"19,492 miles"
Used 2019 Honda Civic EX-L,"25,900","23,421 miles"
Certified 2019 Honda Civic EX-L,"25,357","29,051 miles"
Certified 2019 Honda Civic EX,"24,477","23,035 miles"
Used 2013 Honda Civic LX,"13,900","89,037 miles"
Used 2019 Honda Civic Type R,"42,900","33,032 miles"
Used 2013 Honda Civic LX,"16,900","33,912 miles"
Used 2018 Honda Civic Sport,"22,900","75,545 miles"
Used 2014 Honda Civic LX,"14,990","121,895 miles"
Used 2020 Honda Civic Sport,"25,990","13,263 miles"
Used 2022 Honda Civic Touring,"30,700","15,270 miles"
Used 2019 Honda Civic Si,"27,909","25,987 miles"
Used 2016 Honda Civic EX,"17,800","100,238 miles"
Used 2017 Honda Civic EX-T,"17,750","118,384 miles"
Used 2009 Honda Civic EX-L,"10,500","134,221 miles"
Used 2017 Honda Civic LX,"17,999","96,657 miles"
Used 2014 Honda Civic EX,,"98,862 miles"
Used 2016 Honda Civic LX,,"11,679 miles"
Used 2021 Honda Civic Sport,,"27,244 miles"
Used 2014 Honda Civic EX,,"40,951 miles"
Used 2007 Honda Civic EX,"6,995","168,183 miles"
Used 2016 Honda Civic EX-T,"17,691","78,533 miles"
Used 2021 Honda Civic Sport,"25,995","10,172 miles"
Used 2019 Honda Civic EX,"25,311","36,949 miles"
Used 2021 Honda Civic LX,"23,294","24,269 miles"
Used 2021 Honda Civic LX,"22,499","27,358 miles"
Used 2020 Honda Civic LX,"18,988","52,843 miles"
Used 2017 Honda Civic LX,"19,988","28,246 miles"
Used 2008 Honda Civic LX,"10,988","106,551 miles"
Used 2018 Honda Civic LX,"18,988","57,896 miles"
Used 2018 Honda Civic EX-T,"19,998","57,832 miles"
Used 2019 Honda Civic Sport,"25,998","31,523 miles"
Used 2013 Honda Civic LX,"16,499","37,866 miles"
Used 2015 Honda Civic EX-L,"18,457","38,568 miles"
Used 2021 Honda Civic LX,"21,950","41,282 miles"
Used 2008 Honda Civic LX,"9,799","131,611 miles"
Used 2020 Honda Civic Sport,"27,999","24,365 miles"
Used 2019 Honda Civic EX,"19,995","64,050 miles"
Used 2017 Honda Civic EX,"22,791","41,444 miles"
Used 2015 Honda Civic EX-L,"18,200","65,926 miles"
Used 2022 Honda Civic EX,"29,995","14,580 miles"
Certified 2021 Honda Civic Sport,"26,500","26,914 miles"
Used 2022 Honda Civic Sport,"27,526","10,877 miles"
Used 2021 Honda Civic Sport,"26,289","31,901 miles"
Certified 2021 Honda Civic Sport,"25,596","16,746 miles"
Certified 2020 Honda Civic Sport,"23,882","42,461 miles"
Certified 2020 Honda Civic LX,"22,116","31,812 miles"
Certified 2021 Honda Civic EX,"25,933","33,056 miles"
Certified 2021 Honda Civic Sport,"23,972","38,802 miles"
Certified 2020 Honda Civic Sport,"24,659","14,833 miles"
Certified 2022 Honda Civic LX,"25,954","12,993 miles"
Certified 2020 Honda Civic Sport,"22,712","57,637 miles"
Certified 2021 Honda Civic LX,"22,717","31,011 miles"
Used 2020 Honda Civic Sport,"24,754","31,649 miles"
Used 2019 Honda Civic LX,"21,741","21,193 miles"
Used 2020 Honda Civic Sport,"27,295","33,161 miles"
Used 2020 Honda Civic EX,"23,585","37,018 miles"
Used 2005 Honda Civic LX,"4,995","191,000 miles"
Used 2009 Honda Civic LX,"8,995","136,010 miles"
Used 2018 Honda Civic Sport,"23,988","66,553 miles"
Used 2022 Honda Civic LX,"28,998","15,445 miles"
Used 2018 Honda Civic EX,"23,988","48,050 miles"
Used 2020 Honda Civic Sport,"24,485","54,036 miles"
Used 2019 Honda Civic Sport,"25,485","4,428 miles"
Used 2014 Honda Civic EX-L,"16,777","66,753 miles"
Used 2017 Honda Civic Si,"27,950","17,800 miles"
Used 2015 Honda Civic EX,"16,999","101,014 miles"
Used 2015 Honda Civic EX,"17,999","85,650 miles"
Used 2014 Honda Civic LX,"18,999","91,662 miles"
Used 2018 Honda Civic LX,"21,999","97,712 miles"
Used 2016 Honda Civic EX-T,"21,999","69,594 miles"
Used 2018 Honda Civic EX,"27,999","33,547 miles"
Used 2019 Honda Civic LX,"23,499","25,056 miles"
Used 2017 Honda Civic EX-L,"21,785","44,474 miles"
Used 2020 Honda Civic Sport,"23,985","30,567 miles"
Used 2018 Honda Civic EX,"19,988","72,285 miles"
Used 2022 Honda Civic EX-L,"32,997","7,657 miles"
Used 2020 Honda Civic Si,"30,997","16,880 miles"
Used 2020 Honda Civic LX,"23,997","10,379 miles"
Used 2022 Honda Civic Sport,"29,497","4,590 miles"
Used 2019 Honda Civic Sport,"24,997","38,250 miles"
Used 2022 Honda Civic Sport,"28,997","19,367 miles"
Used 2022 Honda Civic Sport,"30,997","15,378 miles"
Used 2022 Honda Civic EX-L,"31,997","7,538 miles"
Used 2021 Honda Civic EX,"29,997","22,004 miles"
Used 2019 Honda Civic Si,"28,997","29,342 miles"
Used 2022 Honda Civic EX,"29,997",435 miles
Used 2016 Honda Civic EX-T,"20,999",
Used 2015 Honda Civic Si,"18,774","65,930 miles"
Used 2022 Honda Civic Sport,"26,251","21,190 miles"
Used 2019 Honda Civic LX,"18,384","137,324 miles"
Used 2019 Honda Civic Sport,"22,981","78,386 miles"
Certified 2020 Honda Civic Sport,"25,892","48,902 miles"
Certified 2021 Honda Civic Sport,"29,382","22,730 miles"
Certified 2019 Honda Civic EX,"27,383","20,178 miles"
Used 2018 Honda Civic Sport,"24,442","48,777 miles"
Certified 2022 Honda Civic Sport Touring,"34,981","12,789 miles"
Certified 2021 Honda Civic EX,"28,981","18,156 miles"
Certified 2020 Honda Civic LX,"22,984","38,487 miles"
Certified 2022 Honda Civic Sport,"29,382","26,163 miles"
Used 2016 Honda Civic LX,"18,651","80,370 miles"
Certified 2020 Honda Civic LX,"23,491","22,958 miles"
Certified 2020 Honda Civic EX,"30,991","16,185 miles"
Certified 2021 Honda Civic EX,"26,991","19,069 miles"
Used 2017 Honda Civic LX,"19,999","97,987 miles"
Used 2022 Honda Civic Sport,"31,999","39,333 miles"
Used 2022 Honda Civic Sport,"27,000","25,101 miles"
Used 2020 Honda Civic LX,"22,550","32,618 miles"
Certified 2020 Honda Civic Sport,"25,758","15,479 miles"
Certified 2021 Honda Civic EX,"26,437","20,663 miles"
Certified 2020 Honda Civic Sport,"23,993","35,824 miles"
Used 2017 Honda Civic EX,"18,645","98,761 miles"
Certified 2019 Honda Civic Sport,"24,174","30,389 miles"
Certified 2020 Honda Civic Sport,"25,236","29,684 miles"
Used 2012 Honda Civic LX,"14,999","103,123 miles"
Used 2019 Honda Civic Sport,"31,999","28,146 miles"
Used 2017 Honda Civic EX-L,,"150,025 miles"
Used 2014 Honda Civic LX,"12,989","140,602 miles"
Used 2017 Honda Civic EX,"17,989","83,617 miles"
Used 2013 Honda Civic LX,"12,989","93,605 miles"
Used 2018 Honda Civic EX-L,"20,000","71,385 miles"
Used 2020 Honda Civic LX,"23,500","36,626 miles"
Used 2008 Honda Civic LX,"7,400","115,292 miles"
Used 2015 Honda Civic EX,"15,999","89,900 miles"
Used 2017 Honda Civic Sport,"18,990","80,850 miles"
Used 2021 Honda Civic EX,"25,574","26,091 miles"
Used 2020 Honda Civic Sport,"25,458","34,325 miles"
Used 2019 Honda Civic Sport,"23,990","54,365 miles"
Used 2020 Honda Civic Si,"27,990","35,190 miles"
